Frames,Invar,Pdr_solve,blockCube,ensureFrames,ensureFrames_Invar,generalize,pushClauses,pushClauses.Pdr_ManCheckCube,run,solverAddClause,Frames_q,Invar_q,Pdr_solve_q,blockCube_q,ensureFrames_q,ensureFrames_Invar_q,generalize_q,pushClauses_q,pushClauses.Pdr_ManCheckCube_q,run_q,solverAddClause_q,Frames_r,Invar_r,Pdr_solve_r,blockCube_r,ensureFrames_r,ensureFrames_Invar_r,generalize_r,pushClauses_r,pushClauses.Pdr_ManCheckCube_r,run_r,solverAddClause_r
21.0,nan,1790.24,1732.48,0.04,nan,1647.26,57.66,57.02,1790.26,1.15,19.0,nan,1790.15,1747.7,0.04,nan,1657.51,42.39,41.98,1790.17,1.13,0.9047619047619048,nan,0.99994972741085,1.0087850942002217,1.0,nan,1.0062224542573728,0.735171696149844,0.7362329007365835,0.9999497279724733,0.9826086956521739
4.0,16.0,0.01,0.0,0.0,nan,0.0,0.0,0.0,0.02,0.0,4.0,16.0,0.01,0.0,0.0,nan,0.0,0.0,0.0,0.02,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,1.0,nan
4.0,16.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.01,0.0,4.0,16.0,0.01,0.0,0.0,nan,0.0,0.0,0.0,0.02,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,2.0,nan
4.0,2.0,0.01,0.0,0.0,nan,0.0,0.0,0.0,0.02,0.0,4.0,2.0,0.01,0.0,0.0,nan,0.0,0.0,0.0,0.02,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,1.0,nan
27.0,nan,1784.53,1589.69,0.03,nan,1497.49,194.75,191.83,1784.55,1.83,25.0,nan,1779.25,1630.44,0.03,nan,1534.16,148.74,146.37,1779.27,1.76,0.9259259259259259,nan,0.9970412377488751,1.025633928627594,1.0,nan,1.0244876426553766,0.7637483953786907,0.763019340040661,0.9970412709086325,0.9617486338797814
25.0,280.0,74.42,64.19,0.02,0.0,58.26,10.21,10.14,74.43,0.21,22.0,239.0,55.92,46.4,0.02,0.0,42.01,9.51,9.46,55.94,0.15,0.88,0.8535714285714285,0.7514109110454179,0.7228540271070261,1.0,nan,0.7210779265362169,0.9314397649363368,0.9329388560157791,0.7515786645169957,0.7142857142857143
44.0,93.0,44.68,36.79,0.02,0.0,30.71,7.89,7.71,44.7,0.46,41.0,154.0,180.6,159.67,0.02,0.0,130.99,20.92,20.23,180.61,1.61,0.9318181818181818,1.6559139784946237,4.042076991942704,4.340038053818972,1.0,nan,4.265385867795507,2.6514575411913817,2.623865110246433,4.040492170022372,3.5
20.0,179.0,25.1,18.96,0.02,0.0,16.98,6.13,6.09,25.12,0.06,24.0,203.0,26.4,20.93,0.02,0.0,18.81,5.45,5.41,26.42,0.06,1.2,1.1340782122905029,1.051792828685259,1.103902953586498,1.0,nan,1.1077738515901059,0.8890701468189234,0.8883415435139573,1.051751592356688,1.0
20.0,61.0,3.6,2.96,0.01,0.0,2.44,0.63,0.62,3.61,0.01,24.0,110.0,6.35,4.57,0.01,0.0,3.69,1.77,1.75,6.37,0.02,1.2,1.8032786885245902,1.7638888888888888,1.543918918918919,1.0,nan,1.5122950819672132,2.8095238095238093,2.8225806451612905,1.7645429362880887,2.0
6.0,nan,1794.95,1794.42,0.02,nan,1770.64,0.47,0.47,1794.97,0.26,6.0,nan,1794.99,1794.47,0.02,nan,1771.86,0.46,0.46,1795.01,0.26,1.0,nan,1.0000222847433076,1.0000278641566633,1.0,nan,1.0006890164008493,0.9787234042553192,0.9787234042553192,1.0000222844950055,1.0
19.0,50.0,1791.06,1674.17,0.02,0.0,1638.96,116.85,114.91,1791.08,1.26,19.0,50.0,1791.34,1673.35,0.02,0.0,1635.16,117.95,115.87,1791.36,1.32,1.0,1.0,1.0001563320045113,0.9995102050568341,1.0,nan,0.9976814565334114,1.00941377834831,1.0083543642850927,1.0001563302588383,1.0476190476190477
23.0,34.0,1.05,0.7,0.01,0.0,0.54,0.34,0.33,1.06,0.01,20.0,39.0,1.17,0.88,0.01,0.0,0.69,0.29,0.28,1.18,0.01,0.8695652173913043,1.1470588235294117,1.114285714285714,1.2571428571428573,1.0,nan,1.2777777777777777,0.8529411764705881,0.8484848484848485,1.1132075471698113,1.0
9.0,89.0,5.09,4.58,0.01,0.0,3.98,0.5,0.49,5.11,0.01,15.0,110.0,110.49,109.05,0.02,0.0,99.37,1.41,1.4,110.5,0.19,1.6666666666666667,1.2359550561797752,21.707269155206287,23.81004366812227,2.0,nan,24.967336683417088,2.82,2.857142857142857,21.62426614481409,19.0
6.0,nan,3.25,3.16,0.02,nan,2.91,0.06,0.06,3.27,0.0,6.0,nan,3.26,3.16,0.02,nan,2.92,0.07,0.07,3.28,0.0,1.0,nan,1.003076923076923,1.0,1.0,nan,1.0034364261168385,1.1666666666666667,1.1666666666666667,1.003058103975535,nan
7.0,nan,1785.21,1781.94,0.02,nan,1731.93,3.23,3.17,1785.23,0.68,7.0,nan,1785.8,1782.51,0.02,nan,1732.7,3.24,3.19,1785.82,0.68,1.0,nan,1.0003304933313166,1.000319876090104,1.0,nan,1.0004445907167148,1.0030959752321982,1.0063091482649842,1.0003304896287872,1.0
19.0,198.0,180.52,173.71,0.02,0.0,164.59,6.78,6.65,180.54,0.34,13.0,15.0,2.05,1.89,0.01,nan,1.68,0.15,0.15,2.07,0.0,0.6842105263157895,0.07575757575757576,0.011356082428539773,0.010880202636578204,0.5,nan,0.010207181481256454,0.022123893805309734,0.022556390977443608,0.011465603190428714,0.0
33.0,251.0,1750.36,1567.65,0.02,0.01,1369.76,182.7,168.47,1750.38,7.76,34.0,280.0,1748.88,1593.38,0.02,0.0,1335.21,155.49,145.3,1748.89,8.28,1.0303030303030303,1.1155378486055776,0.9991544596540142,1.016413102414442,1.0,0.0,0.9747766032005607,0.8510673234811167,0.8624680952098297,0.999148756270067,1.0670103092783505
17.0,114.0,37.66,34.26,0.02,0.0,30.43,3.38,3.35,37.68,0.08,17.0,114.0,37.68,34.3,0.02,0.0,30.48,3.37,3.33,37.7,0.08,1.0,1.0,1.0005310674455656,1.0011675423234092,1.0,nan,1.0016431153466974,0.9970414201183433,0.9940298507462687,1.0005307855626329,1.0
23.0,36.0,0.57,0.37,0.01,0.0,0.28,0.2,0.19,0.59,0.0,17.0,34.0,0.5,0.38,0.01,0.0,0.29,0.12,0.11,0.51,0.0,0.7391304347826086,0.9444444444444444,0.8771929824561404,1.027027027027027,1.0,nan,1.0357142857142856,0.6,0.5789473684210527,0.864406779661017,nan
