source,target
"979","916"
"886","24"
"909","24"
"888","24"
"1159","24"
"1375","554"
"892","24"
"1417","24"
"893","24"
"895","24"
"896","24"
"898","24"
"899","24"
"364","24"
"900","24"
"911","24"
"901","24"
"92","24"
"1244","24"
"902","24"
"905","24"
"817","554"
"1628","24"
"1404","24"
"1404","48"
"914","24"
"915","865"
"917","24"
"1888","24"
"918","24"
"1154","24"
"921","24"
"924","24"
"1101","990"
"1253","24"
"1825","1800"
"925","24"
"926","24"
"1850","1849"
"343","24"
"928","24"
"1678","24"
"2147","24"
"1626","24"
"930","24"
"1178","24"
"932","865"
"933","24"
"1791","24"
"934","24"
"2129","24"
"935","865"
"982","916"
"91","24"
"936","24"
"392","24"
"938","865"
"2133","24"
"1496","24"
"947","865"
"949","24"
"1454","24"
"366","24"
"1076","24"
"950","865"
"1333","420"
"649","24"
"1715","24"
"1867","24"
"453","48"
"951","24"
"952","24"
"651","24"
"964","24"
"863","554"
"169","1123"
"169","870"
"169","166"
"169","206"
"957","865"
"1372","24"
"965","24"
"439","24"
"94","24"
"967","24"
"207","206"
"968","865"
"894","24"
"969","916"
"970","24"
"190","883"
"190","189"
"1353","420"
"298","295"
"971","916"
"973","916"
"1270","24"
"446","206"
"975","24"
"1263","420"
"1942","1941"
"605","24"
"1323","24"
"1962","1959"
"362","24"
"980","24"
"1524","24"
"983","24"
"849","24"
"1258","24"
"986","24"
"289","24"
"1148","24"
"1499","24"
"122","24"
"1535","990"
"988","24"
"2049","24"
"1756","1357"
"989","865"
"460","24"
"305","304"
"994","24"
"1460","24"
"995","24"
"1694","24"
"997","24"
"1103","990"
"1000","24"
"418","24"
"1002","990"
"1264","420"
"1003","24"
"165","164"
"165","486"
"165","397"
"165","186"
"1004","24"
"1006","24"
"1007","990"
"239","24"
"1009","1008"
"1010","1008"
"1866","24"
"1816","24"
"1681","24"
"653","24"
"592","24"
"1011","24"
"1085","24"
"1012","24"
"1014","24"
"1015","1008"
"582","24"
"945","24"
"1017","24"
"1018","24"
"1019","1008"
"1020","990"
"1706","24"
"1627","990"
"1022","24"
"1341","24"
"2047","24"
"1023","24"
"1024","990"
"1431","24"
"1025","1008"
"767","24"
"1026","24"
"1027","24"
"1029","990"
"1031","24"
"2033","24"
"1939","1936"
"1169","24"
"2132","24"
"1556","1123"
"97","24"
"1106","24"
"1032","990"
"1572","554"
"1033","24"
"2200","24"
"248","24"
"1034","24"
"1486","24"
"1035","990"
"27","0"
"1037","24"
"1200","24"
"1597","24"
"1561","24"
"316","24"
"1038","990"
"1040","24"
"108","870"
"108","96"
"108","164"
"1041","990"
"1444","24"
"1409","24"
"553","526"
"906","24"
"1044","1008"
"1045","24"
"1430","24"
"1364","1357"
"1555","496"
"1047","990"
"520","24"
"1346","420"
"1048","24"
"1049","24"
"1050","990"
"1780","24"
"1053","24"
"1056","24"
"1144","24"
"1617","1800"
"1617","865"
"974","24"
"1057","990"
"1058","24"
"1491","24"
"1691","24"
"1060","990"
"1580","24"
"83","24"
"1061","24"
"1064","24"
"1609","865"
"944","865"
"1731","420"
"1068","24"
"393","24"
"908","24"
"1511","24"
"1815","24"
"1070","990"
"1951","24"
"1787","24"
"267","24"
"1071","990"
"1779","24"
"1075","990"
"1243","24"
"65","24"
"1481","24"
"1078","24"
"1079","24"
"1077","24"
"1083","24"
"1088","24"
"510","500"
"1091","24"
"1098","24"
"1099","990"
"2017","24"
"1102","24"
"1105","24"
"1239","24"
"1392","554"
"1109","24"
"1110","24"
"1111","990"
"1113","24"
"1115","990"
"846","24"
"1118","990"
"1655","24"
"1096","24"
"1668","24"
"1108","990"
"1013","24"
"1119","990"
"1120","24"
"1548","24"
"1100","24"
"1122","990"
"1876","24"
"1453","24"
"1124","24"
"1537","24"
"1125","24"
"1126","1123"
"1317","24"
"1127","24"
"1128","24"
"779","554"
"1130","1123"
"1133","24"
"217","24"
"1575","24"
"1135","24"
"1136","24"
"738","24"
"1285","24"
"2095","24"
"1137","24"
"663","24"
"1141","24"
"1246","24"
"25","24"
"1403","865"
"1143","24"
"1146","24"
"1632","990"
"1149","24"
"1669","24"
"424","206"
"1150","24"
"840","24"
"1151","24"
"1326","24"
"1152","24"
"1711","24"
"1639","990"
"1063","990"
"1155","24"
"1156","24"
"44","12"
"1157","24"
"1160","24"
"1161","24"
"129","24"
"1162","24"
"1599","24"
"1163","24"
"1164","24"
"1167","24"
"1171","24"
"1172","24"
"1173","24"
"1174","24"
"2150","24"
"1743","420"
"1176","24"
"1583","554"
"1181","24"
"1722","2180"
"1722","24"
"1186","24"
"1536","24"
"1189","24"
"1320","24"
"1551","24"
"1726","420"
"1190","24"
"1191","24"
"1193","24"
"1194","24"
"1090","990"
"1197","24"
"575","24"
"1198","24"
"1199","24"
"788","24"
"1","0"
"1202","24"
"1203","24"
"242","24"
"1225","24"
"1207","24"
"939","24"
"943","24"
"1208","24"
"1914","1757"
"1209","24"
"1368","24"
"1214","1210"
"1215","24"
"1219","24"
"1221","420"
"1222","24"
"1223","24"
"1468","24"
"1224","420"
"1226","420"
"907","24"
"1229","24"
"1028","24"
"1232","24"
"2079","24"
"794","554"
"461","24"
"1234","24"
"1139","24"
"535","24"
"1179","24"
"1552","24"
"1238","24"
"1245","420"
"1447","24"
"753","24"
"1247","24"
"1248","420"
"1250","24"
"1255","24"
"1256","24"
"1257","420"
"1564","500"
"1260","420"
"1266","24"
"1268","24"
"277","24"
"1271","24"
"1273","24"
"1325","24"
"1686","24"
"795","554"
"1276","24"
"1366","24"
"1279","420"
"1281","24"
"1435","24"
"1283","24"
"1290","420"
"1293","24"
"1094","1008"
"1294","24"
"1540","990"
"1296","420"
"1420","24"
"1300","24"
"457","24"
"1301","24"
"1302","24"
"1204","24"
"1303","24"
"2035","24"
"1304","24"
"1305","24"
"1306","420"
"1307","24"
"750","554"
"1309","24"
"1310","420"
"609","24"
"1228","420"
"1311","24"
"1242","420"
"1312","24"
"1315","24"
"1318","24"
"1321","24"
"1324","24"
"2","24"
"2","0"
"1327","420"
"1329","24"
"2178","24"
"1330","420"
"1517","24"
"1332","24"
"1335","24"
"1336","420"
"960","24"
"1340","24"
"1343","24"
"1964","24"
"1345","24"
"1859","24"
"1348","24"
"2124","24"
"1278","24"
"1262","420"
"1592","554"
"1355","420"
"1292","24"
"1356","420"
"1840","24"
"419","48"
"1358","1357"
"1361","1357"
"1363","24"
"1365","24"
"736","24"
"1371","24"
"17","12"
"1373","1357"
"1351","24"
"2145","24"
"1554","420"
"1376","554"
"929","24"
"1379","554"
"1380","206"
"454","24"
"1381","206"
"1036","24"
"1382","24"
"1385","206"
"1386","294"
"1147","24"
"1390","24"
"1544","990"
"1396","554"
"66","24"
"1611","24"
"1401","24"
"1402","206"
"1405","24"
"1410","24"
"754","24"
"1411","24"
"1170","24"
"1282","420"
"1514","24"
"1414","24"
"1418","24"
"1422","24"
"1423","24"
"1424","24"
"1425","24"
"86","24"
"1427","24"
"2158","24"
"1428","24"
"1295","24"
"1429","24"
"1712","24"
"1433","24"
"1434","24"
"312","294"
"1436","24"
"1284","420"
"1384","24"
"1438","24"
"1880","1879"
"611","24"
"1370","24"
"1440","24"
"2032","24"
"245","24"
"1532","24"
"1777","24"
"113","24"
"1442","24"
"814","554"
"1451","24"
"1457","24"
"1461","24"
"1462","865"
"628","24"
"835","24"
"1469","24"
"1832","24"
"1472","990"
"2060","24"
"948","24"
"1566","500"
"1473","24"
"1066","990"
"1474","24"
"1062","24"
"1476","24"
"1477","24"
"1478","24"
"1656","24"
"1479","24"
"1484","24"
"963","24"
"1487","24"
"1489","24"
"1492","990"
"2020","24"
"1493","24"
"1495","24"
"464","463"
"1497","24"
"1500","24"
"1334","24"
"1702","24"
"741","24"
"1503","420"
"376","24"
"1504","24"
"1505","24"
"956","24"
"1506","24"
"1509","24"
"1510","24"
"946","24"
"1512","420"
"1145","24"
"1612","24"
"1515","1357"
"1587","554"
"1733","420"
"1516","865"
"1518","865"
"1519","24"
"1659","990"
"1520","24"
"1522","24"
"1801","1949"
"1801","1800"
"1801","1936"
"1527","24"
